Scenario,Rank,Wallet,Success_Probability
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",27,(1 AND 2 AND 3 AND 4),0.238500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.681500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",2,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.654000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",3,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.625000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.623500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",5,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.621500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",6,(1) OR (2 AND 3) OR (2 AND 4),0.606500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.590000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.590000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",9,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.588000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",10,(1) OR (2 AND 3),0.585000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",11,(1) OR (2 AND 3 AND 4),0.560500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",12,(1) OR (2) OR (3 AND 4),0.559500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",13,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.551500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",14,(1) OR (2),0.550000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",15,(1 AND 2) OR (3 AND 4),0.549500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",16,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.516500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",17,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.510000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",18,(1),0.500000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",19,(1) OR (2) OR (3),0.485000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",20,(1 AND 2) OR (1 AND 3),0.475000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",21,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.465500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",22,(1 AND 2) OR (1 AND 3 AND 4),0.430500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",23,(1) OR (2) OR (3) OR (4),0.401500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",24,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.383000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",25,(1 AND 2),0.350000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",26,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.299500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",27,(1 AND 2 AND 3),0.215000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",28,(1 AND 2 AND 3 AND 4),0.129500
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.684000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",1,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.684000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.669600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.669600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",5,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.657600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",6,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.652800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",6,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.652800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",8,(1 AND 2) OR (3 AND 4),0.643200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.643200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",10,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.633600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",10,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.633600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",12,(1) OR (2 AND 3 AND 4),0.618000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",12,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.618000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",14,(1),0.600000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",15,(1) OR (2 AND 3),0.594000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",15,(1 AND 2) OR (1 AND 3),0.594000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",17,(1) OR (2 AND 3) OR (2 AND 4),0.567600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",17,(1 AND 2) OR (1 AND 3 AND 4),0.567600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",19,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.538800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",19,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.538800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",21,(1) OR (2),0.480000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",21,(1 AND 2),0.480000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",23,(1) OR (2) OR (3 AND 4),0.441600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",23,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.441600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",25,(1) OR (2) OR (3),0.342000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",25,(1 AND 2 AND 3),0.342000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",27,(1) OR (2) OR (3) OR (4),0.240000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",27,(1 AND 2 AND 3 AND 4),0.240000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",1,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.763200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",2,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.751200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.736800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",4,(1 AND 2) OR (3 AND 4),0.732000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",5,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.720000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",5,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.720000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.715200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.696000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",9,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.691200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",10,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.681600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",11,(1 AND 2) OR (1 AND 3 AND 4),0.678000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",12,(1 AND 2) OR (1 AND 3),0.672000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",13,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.669600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",14,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.663600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",15,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.640800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",16,(1) OR (2 AND 3 AND 4),0.634200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",17,(1) OR (2 AND 3),0.606000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",18,(1),0.600000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",18,(1 AND 2),0.600000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",20,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.595200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",21,(1) OR (2 AND 3) OR (2 AND 4),0.575400
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",22,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.542400
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",23,(1 AND 2 AND 3),0.504000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",24,(1) OR (2),0.480000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",25,(1) OR (2) OR (3 AND 4),0.442800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",26,(1 AND 2 AND 3 AND 4),0.408000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",27,(1) OR (2) OR (3),0.342000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.1000",28,(1) OR (2) OR (3) OR (4),0.240000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.763200
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",2,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.751200
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.736800
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",4,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.732000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",5,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.720000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",5,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.720000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.715200
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.696000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",9,(1 AND 2) OR (3 AND 4),0.691200
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",10,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.681600
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",11,(1) OR (2 AND 3) OR (2 AND 4),0.678000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",12,(1) OR (2 AND 3),0.672000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",13,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.669600
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",14,(1) OR (2 AND 3 AND 4),0.663600
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",15,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.640800
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",16,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.634200
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",17,(1 AND 2) OR (1 AND 3),0.606000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",18,(1),0.600000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",18,(1) OR (2),0.600000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",20,(1) OR (2) OR (3 AND 4),0.595200
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",21,(1 AND 2) OR (1 AND 3 AND 4),0.575400
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",22,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.542400
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",23,(1) OR (2) OR (3),0.504000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",24,(1 AND 2),0.480000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",25,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.442800
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",26,(1) OR (2) OR (3) OR (4),0.408000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",27,(1 AND 2 AND 3),0.342000
"SAFE=0.6000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.1000",28,(1 AND 2 AND 3 AND 4),0.240000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.826000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",1,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.826000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.821100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.821100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",5,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.817600
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",6,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.814800
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",6,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.814800
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.812700
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",8,(1 AND 2) OR (3 AND 4),0.812700
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",10,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.807100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",10,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.807100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",12,(1) OR (2 AND 3 AND 4),0.745500
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",12,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.745500
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",14,(1) OR (2 AND 3),0.735000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",14,(1 AND 2) OR (1 AND 3),0.735000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",16,(1) OR (2 AND 3) OR (2 AND 4),0.723100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",16,(1 AND 2) OR (1 AND 3 AND 4),0.723100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",18,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.709800
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",18,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.709800
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",20,(1),0.700000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",21,(1) OR (2),0.630000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",21,(1 AND 2),0.630000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",23,(1) OR (2) OR (3 AND 4),0.611100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",23,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.611100
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",25,(1) OR (2) OR (3),0.511000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",25,(1 AND 2 AND 3),0.511000
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",27,(1) OR (2) OR (3) OR (4),0.409500
"SAFE=0.7000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.1000",27,(1 AND 2 AND 3 AND 4),0.409500
