Wallet,Optimal_Count,Percentage,,,"probabilities = generateKeyFaultProbabilityScenarios(step=0.025, include_zero=True, min_safe=0.5)"
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),931,53.41%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),245,14.06%,,,
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),245,14.06%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),66,3.79%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),66,3.79%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),46,2.64%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),46,2.64%,,,
(1) OR (2) OR (3) OR (4) OR (5),22,1.26%,,,
(1 AND 2 AND 3 AND 4 AND 5),22,1.26%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),6,0.34%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),6,0.34%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),6,0.34%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),6,0.34%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5),3,0.17%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5),3,0.17%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),3,0.17%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),3,0.17%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),2,0.11%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 5) OR (4 AND 5),2,0.11%,,,
(1 AND 2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),2,0.11%,,,
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5),2,0.11%,,,
(1) OR (2) OR (3) OR (4),1,0.06%,,,
(1) OR (2) OR (3) OR (4 AND 5),1,0.06%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),1,0.06%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (4 AND 5),1,0.06%,,,
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),1,0.06%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),1,0.06%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),1,0.06%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (3 AND 4 AND 5),1,0.06%,,,
(1 AND 2 AND 3 AND 4),1,0.06%,,,
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5),1,0.06%,,,
-1,0,0.00%,,,
(1) OR (2),0,0.00%,,,
(1) OR (2) OR (3),0,0.00%,,,
(1) OR (2) OR (3 AND 4),0,0.00%,,,
(1) OR (2) OR (3 AND 4) OR (3 AND 5),0,0.00%,,,
(1) OR (2) OR (3 AND 4) OR (3 AND 5) OR (4 AND 5),0,0.00%,,,
(1) OR (2) OR (3 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (4 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3 AND 4),0,0.00%,,,
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2),0,0.00%,,,
(1 AND 2) OR (1 AND 3),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5) OR (3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (1 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
