Wallet,Optimal_Count,Percentage,,,"probabilities = generateKeyFaultProbabilityScenarios(step=0.025, include_zero=True, min_safe=0.5)"
(1 AND 2) OR (1 AND 3) OR (2 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (3 AND 4),0,0.00%,,,
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 2 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 2 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5),0,0.00%,,,
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5),0,0.00%,,,
