Wallet,Unique_Count,Tie_Count,Total_Count,Unique_Percentage,Tie_Percentage,Total_Percentage
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),931,10,941,53.41%,35.71%,53.13%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),245,1,246,14.06%,3.57%,13.89%
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),245,1,246,14.06%,3.57%,13.89%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),66,1,67,3.79%,3.57%,3.78%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),66,1,67,3.79%,3.57%,3.78%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),46,1,47,2.64%,3.57%,2.65%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),46,1,47,2.64%,3.57%,2.65%
(1) OR (2) OR (3) OR (4) OR (5),22,1,23,1.26%,3.57%,1.30%
(1 AND 2 AND 3 AND 4 AND 5),22,1,23,1.26%,3.57%,1.30%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),6,1,7,0.34%,3.57%,0.40%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),6,1,7,0.34%,3.57%,0.40%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),6,1,7,0.34%,3.57%,0.40%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),6,1,7,0.34%,3.57%,0.40%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5),3,1,4,0.17%,3.57%,0.23%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5),3,1,4,0.17%,3.57%,0.23%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),3,1,4,0.17%,3.57%,0.23%
(1 AND 2 AND 3) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),3,1,4,0.17%,3.57%,0.23%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),2,1,3,0.11%,3.57%,0.17%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 5) OR (4 AND 5),2,1,3,0.11%,3.57%,0.17%
(1 AND 2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),2,1,3,0.11%,3.57%,0.17%
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5),2,1,3,0.11%,3.57%,0.17%
(1) OR (2) OR (3) OR (4),1,1,2,0.06%,3.57%,0.11%
(1) OR (2) OR (3) OR (4 AND 5),1,1,2,0.06%,3.57%,0.11%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),1,1,2,0.06%,3.57%,0.11%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (4 AND 5),1,1,2,0.06%,3.57%,0.11%
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),1,1,2,0.06%,3.57%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),1,1,2,0.06%,3.57%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),1,1,2,0.06%,3.57%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (3 AND 4 AND 5),1,1,2,0.06%,3.57%,0.11%
(1 AND 2 AND 3 AND 4),1,1,2,0.06%,3.57%,0.11%
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5),1,1,2,0.06%,3.57%,0.11%
-1,0,10,10,0.00%,35.71%,0.56%
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,10,10,0.00%,35.71%,0.56%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,10,10,0.00%,35.71%,0.56%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 3 AND 4 AND 5),0,10,10,0.00%,35.71%,0.56%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,10,10,0.00%,35.71%,0.56%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,10,10,0.00%,35.71%,0.56%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5),0,6,6,0.00%,21.43%,0.34%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 4 AND 5),0,6,6,0.00%,21.43%,0.34%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4 AND 5),0,6,6,0.00%,21.43%,0.34%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,6,6,0.00%,21.43%,0.34%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,4,4,0.00%,14.29%,0.23%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,4,4,0.00%,14.29%,0.23%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5),0,4,4,0.00%,14.29%,0.23%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,4,4,0.00%,14.29%,0.23%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5) OR (3 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (2 AND 3 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (3 AND 4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,2,2,0.00%,7.14%,0.11%
(1) OR (2),0,1,1,0.00%,3.57%,0.06%
(1) OR (2) OR (3),0,1,1,0.00%,3.57%,0.06%
(1) OR (2) OR (3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1) OR (2) OR (3 AND 4) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2) OR (3 AND 4) OR (3 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4),0,1,1,0.00%,3.57%,0.06%
